Frequency,Precision,Power,Execution Time,Throughput,Energy/op,GOPs/mm2
500000000,2bx2b,0.000325,2.508e-05,797448165.8692185,0.40754999999999997,961.610456573645
500000000,4bx4b,0.000366,6.27e-05,318979266.34768736,1.14741,384.64418262945793
500000000,8bx8b,0.000335,0.000212,94339622.64150943,3.5510000000000006,113.76033137201422
510000000,2bx2b,0.00033,2.457e-05,814000814.000814,0.40540499999999996,981.5706247809122
510000000,4bx4b,0.000379,6.144000000000001e-05,325520833.3333333,1.1642880000000002,392.53239340603864
510000000,8bx8b,0.000341,0.00020776,96264921.06276473,3.542308,116.08197078776962
520000000,2bx2b,0.000335,2.407e-05,830909846.2816784,0.40317250000000004,1001.9605422046952
520000000,4bx4b,0.000383,6.019e-05,332281109.8189068,1.1526385,400.6843371135906
520000000,8bx8b,0.000348,0.00020352,98270440.25157233,3.541248,118.50034517918148
530000000,2bx2b,0.000341,2.37e-05,843881856.5400844,0.40408499999999997,1017.6029641716041
530000000,4bx4b,0.00039,5.9250000000000004e-05,337552742.61603373,1.155375,407.0411856686416
530000000,8bx8b,0.000353,0.00020034,99830288.5095338,3.5360010000000006,120.3813030391685
540000000,2bx2b,0.00035,2.319e-05,862440707.2013799,0.405825,1039.9823307833988
540000000,4bx4b,0.000398,5.799e-05,344887049.4912916,1.154001,415.88532938208334
540000000,8bx8b,0.000361,0.0001961,101988781.23406425,3.5396049999999994,122.98414202379917
550000000,2bx2b,0.000352,2.2820000000000002e-05,876424189.3076248,0.40163200000000004,1056.8444456996938
550000000,4bx4b,0.000405,5.7050000000000004e-05,350569675.72304994,1.1552625,422.73777827987755
550000000,8bx8b,0.000369,0.00019292000000000002,103669914.9906697,3.5593740000000005,125.01135315605958
