Frequency,Slack,Combinational Area,Buff/Inv Area,Noncombinational Area,Total MAC Engine Area,Total Fusion Unit Area
500000000,55.48,699.8976,17.1216,274.850395,974.748,871.6704
510000000,31.48,699.8976,17.1216,274.850395,974.748,871.6704
520000000,9.28,699.8976,17.1216,274.850395,974.748,871.6704
530000000,4.91,701.0112,17.1216,274.850395,975.8616,872.784
540000000,3.72,701.1504,17.1216,274.850395,976.0008,872.9232
550000000,57.47,701.4984,17.5392,274.850395,976.3488,873.2712
560000000,0.71,702.0552,17.4696,274.850395,976.9056,873.828
