Frequency,Precision,Power,Execution Time,Throughput,Energy/op,GOPs/mm2
450000000,2bx2b,0.000556,2.783e-05,718648939.9928135,0.773674,477.49795618268803
450000000,4bx4b,0.000704,6.959e-05,287397614.5997988,2.449568,190.95801294100025
450000000,8bx8b,0.000664,0.00023532000000000002,84990651.02838688,7.812624000000001,56.47105269660126
460000000,2bx2b,0.000588,2.7210000000000002e-05,735023888.276369,0.7999740000000001,488.37810071900805
460000000,4bx4b,0.000715,6.802e-05,294031167.3037342,2.4317150000000005,195.3656001259072
460000000,8bx8b,0.000682,0.00023002,86948960.95991653,7.843682,57.772229026016035
470000000,2bx2b,0.000591,2.671e-05,748783227.2557095,0.7892805,497.5203339784429
470000000,4bx4b,0.00073,6.677e-05,299535719.6345664,2.437105,199.02303610250425
470000000,8bx8b,0.000697,0.00022578,88581805.29719196,7.868433,58.85715351476752
480000000,2bx2b,0.000616,2.608e-05,766871165.6441717,0.8032640000000001,509.5386549296092
480000000,4bx4b,0.000748,6.52e-05,306748466.25766873,2.4384799999999998,203.8154619718437
480000000,8bx8b,0.000713,0.00022048,90711175.616836,7.860112000000001,60.27198893579558
490000000,2bx2b,0.000606,2.558e-05,781860828.7724786,0.7750739999999999,519.4983628054812
490000000,4bx4b,0.000765,6.395e-05,312744331.5089914,2.4460874999999995,207.7993451221925
490000000,8bx8b,0.000724,0.00021624,92489826.1191269,7.827888000000001,61.453792640419024
500000000,2bx2b,0.000627,2.508e-05,797448165.8692185,0.7862579999999999,529.8551882202636
500000000,4bx4b,0.000772,6.27e-05,318979266.34768736,2.42022,211.94207528810537
500000000,8bx8b,0.000741,0.000212,94339622.64150943,7.8546000000000005,62.682868493227396
