Frequency,Precision,Power,Execution Time,Energy,Throughput,pJ,GOPs/mm2,,Area (um2),Area (mm2)
950000000,4bx4b,0.000542,3.75E-06,1.01E-13,5356420983,0.10,944.795037,,,
950000000,8bx8b,0.00059,1.21E-05,3.56E-13,1658076476,0.36,292.4606619,,,
960000000,2bx2b,0.000397,1.75E-06,3.46E-14,11472611449,0.03,2023.6024,,,
960000000,4bx4b,0.000534,3.71E-06,9.86E-14,5413105413,0.10,954.7933491,,,
960000000,8bx8b,0.000592,1.20E-05,3.53E-13,1675552171,0.35,295.5431211,,,
970000000,2bx2b,0.000438,1.73E-06,3.78E-14,11597528687,0.04,2045.635991,,,
970000000,4bx4b,0.000557,3.67E-06,1.02E-13,5470825646,0.10,964.9743617,,,
970000000,8bx8b,0.000599,1.18E-05,3.54E-13,1693491287,0.35,298.7073213,,,
980000000,2bx2b,0.000447,1.71E-06,3.82E-14,11711340689,0.04,2065.710779,,,
980000000,4bx4b,0.000559,3.63E-06,1.01E-13,5524459143,0.10,974.4345333,,,
980000000,8bx8b,0.000605,1.17E-05,3.54E-13,1710094200,0.35,301.6358345,,,
990000000,2bx2b,0.000448,1.70E-06,3.79E-14,11827176069,0.04,2086.142461,,,
990000000,4bx4b,0.000569,3.60E-06,1.02E-13,5579157347,0.10,984.0825039,,,
990000000,8bx8b,0.000612,1.16E-05,3.54E-13,1727025368,0.35,304.6222471,,,
1000000000,2bx2b,0.000451,1.68E-06,3.78E-14,11945438182,0.04,2107.002184,,,
1000000000,4bx4b,0.000576,3.56E-06,1.02E-13,5634944021,0.10,993.9224646,,,
1000000000,8bx8b,0.000614,1.15E-05,3.52E-13,1744295413,0.35,307.6684328,,,
