Frequency,Slack,Combinational Area,Buff/Inv Area,Noncombinational Area,Total MAC Engine Area,Total Fusion Unit Area
545000000,44.95,573.782399,9.8136,88.600798,662.3832,559.3056
546000000,43.15,573.782399,9.8136,88.600798,662.3832,559.3056
547000000,41.35,573.782399,9.8136,88.600798,662.3832,559.3056
548000000,41.1,573.991199,10.0224,88.600798,662.592,559.5144
549000000,2.44,574.060799,10.0224,88.600798,662.6616,559.584
550000000,0.64,573.991199,9.8136,88.600798,662.592,559.5144
