Frequency,Slack,Combinational Area,Buff/Inv Area,Noncombinational Area,Total MAC Engine Area,Total Fusion Unit Area
500000000,24.87,641.6424,13.3632,88.600798,730.2432,627.1656
510000000,0.87,641.6424,13.3632,88.600798,730.2432,627.1656
